Data downloaded from OMNIWeb and processed by omniweb_read.py

No AlphaRatio was considered

#TIMEDELAY
0.0

#START
 2024 10 09 03 23 00 000   -1.15     3.04    -7.45  -446.40    -17.90     -8.50    6.51    203662.0
 2024 10 09 03 24 00 000   -2.23     2.57    -6.18  -444.50    -17.90    -10.10    6.56    203653.0
 2024 10 09 03 25 00 000   -3.62     4.14    -4.68  -436.20    -16.70    -15.60    6.87    219551.0
 2024 10 09 03 26 00 000   -2.84     3.34    -5.52  -435.40    -15.80    -16.40    7.11    246396.0
 2024 10 09 03 27 00 000   -2.21     3.23    -5.90  -435.40    -15.80    -16.40    7.11    246396.0
 2024 10 09 03 28 00 000   -3.22    -1.05    -5.85  -441.20     -3.20      0.10    6.72    221889.0
 2024 10 09 03 29 00 000   -2.72    -1.80    -6.33  -441.20     -2.30     -6.30    6.58    215534.0
 2024 10 09 03 30 00 000   -3.03    -0.08    -5.87  -441.20     -1.20    -17.80    5.96    188390.0
 2024 10 09 03 31 00 000   -3.56     0.40    -6.09  -441.10     -9.10    -19.30    5.48    166789.0
 2024 10 09 03 32 00 000   -2.67     0.50    -6.66  -442.50    -15.40    -12.50    6.36    214620.0
 2024 10 09 03 33 00 000   -4.23     0.96    -5.51  -443.70     -9.90    -20.90    6.44    202852.0
 2024 10 09 03 34 00 000   -2.70     0.87    -6.48  -435.00     -0.50    -30.30    6.06    166102.0
 2024 10 09 03 35 00 000   -2.98     0.93    -6.73  -435.00     -0.50    -30.30    6.06    166102.0
 2024 10 09 03 36 00 000   -2.55     1.20    -6.87  -441.90    -14.00    -16.00    6.32    199789.0
 2024 10 09 03 37 00 000   -1.61     2.20    -6.85  -444.00    -15.30    -16.50    6.41    209834.0
 2024 10 09 03 38 00 000   -1.69     2.40    -6.92  -446.60    -17.00    -16.70    6.53    220219.0
 2024 10 09 03 39 00 000   -1.66     2.66    -6.85  -449.90    -19.10    -16.00    6.78    224383.0
 2024 10 09 03 40 00 000   -1.68     2.37    -6.18  -449.90    -19.10    -16.00    6.78    224383.0
 2024 10 09 03 41 00 000    0.25     3.22    -6.65  -449.90    -19.10    -16.00    6.78    224383.0
 2024 10 09 03 42 00 000   -0.33     2.46    -6.79  -449.90    -19.10    -16.00    6.78    224383.0
 2024 10 09 03 43 00 000   -1.12     2.44    -6.34  -449.90    -19.10    -16.00    6.78    224383.0
 2024 10 09 03 44 00 000   -0.65     2.77    -6.22  -449.90    -19.10    -16.00    6.78    224383.0
 2024 10 09 03 45 00 000   -1.19     3.40    -5.67  -449.90    -19.10    -16.00    6.78    224383.0
 2024 10 09 03 46 00 000   -2.79     0.44    -5.26  -445.10    -19.40    -19.90    6.56    221811.0
 2024 10 09 03 47 00 000   -4.51    -2.97    -3.54  -440.20     -9.70    -17.10    6.46    209766.0
 2024 10 09 03 48 00 000   -3.62    -4.89    -2.53  -434.00      2.70    -13.50    6.33    194295.0
 2024 10 09 03 49 00 000   -4.24    -4.66    -2.21  -438.50     24.70    -19.40    5.89    172843.0
 2024 10 09 03 50 00 000   -4.44    -3.66    -2.66  -438.50     24.70    -19.40    5.89    172843.0
 2024 10 09 03 51 00 000   -4.57    -3.07    -3.36  -438.50     24.70    -19.40    5.89    172843.0
 2024 10 09 03 52 00 000   -4.04    -3.83    -3.23  -443.80     12.80    -10.00    7.28    228454.0
 2024 10 09 03 53 00 000   -4.97    -3.11    -2.82  -443.80     12.80    -10.00    7.28    228454.0
 2024 10 09 03 54 00 000   -5.18    -2.08    -3.46  -443.80     12.80    -10.00    7.28    228454.0
 2024 10 09 03 55 00 000   -5.30    -1.52    -3.63  -443.80     12.80    -10.00    7.28    228454.0
 2024 10 09 03 56 00 000   -5.33    -1.13    -3.80  -439.60      0.10    -15.00    6.68    213107.0
 2024 10 09 03 57 00 000   -4.71     0.01    -4.60  -439.60      0.10    -15.00    6.68    213107.0
 2024 10 09 03 59 00 000   -2.54     2.50    -3.83  -457.40    -19.60    -32.60    5.41    209684.0
 2024 10 09 04 00 00 000    2.66     6.47    -3.74  -455.10    -17.30    -27.20    5.36    187211.0
 2024 10 09 04 01 00 000    0.83     6.28    -4.08  -462.30    -21.60    -37.80    5.20    190571.0
 2024 10 09 04 02 00 000    2.26     6.62    -4.35  -463.10    -15.70    -38.10    5.76    229400.0
 2024 10 09 04 03 00 000   -1.24     3.52    -4.88  -453.40    -18.60    -34.60    6.94    231283.0
 2024 10 09 04 04 00 000   -0.74     4.64    -4.31  -454.80    -17.00    -30.00    6.76    218755.0
 2024 10 09 04 05 00 000    1.77     4.48    -4.76  -451.10    -15.80    -30.40    7.09    223029.0
 2024 10 09 04 06 00 000    2.93     5.50    -4.11  -454.80     -8.50    -27.50    7.36    231556.0
 2024 10 09 04 07 00 000    5.20     6.87    -3.66  -463.30    -16.30    -34.00    5.70    201408.0
 2024 10 09 04 08 00 000    5.33     6.57    -3.70  -469.50    -22.10    -38.80    4.50    179436.0
 2024 10 09 04 09 00 000    5.52     6.01    -3.87  -476.70    -18.80    -35.40    4.93    185833.0
 2024 10 09 04 10 00 000    1.91     8.04    -2.79  -466.80    -19.30    -47.70    5.21    197109.0
 2024 10 09 04 11 00 000    1.04     8.48    -1.95  -460.00    -19.60    -56.10    5.40    204858.0
 2024 10 09 04 12 00 000    3.36     7.57    -2.85  -460.00    -19.60    -56.10    5.40    204858.0
 2024 10 09 04 13 00 000    5.00     6.47    -2.98  -460.00    -19.60    -56.10    5.40    204858.0
 2024 10 09 04 14 00 000    5.02     6.76    -2.33  -460.00    -19.60    -56.10    5.40    204858.0
 2024 10 09 04 15 00 000    5.18     6.67    -2.02  -469.10    -10.70    -45.00    5.74    260036.0
 2024 10 09 04 16 00 000    5.82     6.15    -1.80  -469.10    -10.70    -45.00    5.74    260036.0
 2024 10 09 04 17 00 000    5.08     6.56    -1.97  -469.10    -10.70    -45.00    5.74    260036.0
 2024 10 09 04 18 00 000    4.16     6.83    -2.91  -470.80    -11.30    -33.30    5.62    221958.0
